id;amount;net_amount;currency;purpose_of_transfer
1;74775;38983;Auto Loan Account back-end Car;Specialist
2;20850;30831;wireless Sports;Antigua and Barbuda Australian Dollar orchid
3;91231;95851;virtual;Customer-focused SQL Web
4;54643;96136;deposit Generic;Rubber Personal Loan Account input
5;56729;54903;white Jersey;Investment Account mobile Corporate
6;96907;52903;Guyana Dollar Bahrain;Gorgeous Soft Shoes Optimized
7;72375;98696;Chief cross-platform;Handmade Cotton Keyboard
8;90243;43905;Customer;Profound
9;75090;93763;Soft;SMTP Home Loan Account
10;97060;47352;Money Market Account Zambia;Fresh
