id;bank_id;bank_name;branch_indicator;flag_label
1;Iran;Incredible Rubber Ball Qatar calculating;Dominican Republic;out-of-the-box navigate Personal Loan Account
2;Rand Namibia Dollar European Unit of Account 9(E.U.A.-9);GB;payment cross-platform;Shoes service-desk
3;payment visualize Steel;actuating haptic Automotive;quantify;Ridge
4;Balanced dot-com Communications;synthesize Salad;Pennsylvania;Intelligent circuit
5;EXE Chips deposit;interface Outdoors;solid state;generating
6;Frozen value-added;Montana;sticky digital;COM 1080p override
7;Sleek;IB Guinea-Bissau Syrian Pound;Movies parsing override;incentivize
8;Electronics Licensed Metal Computer Ergonomic Concrete Cheese;Illinois architectures;sky blue virtual platforms;innovate
9;Steel;Malaysia Cambridgeshire;Bacon dynamic;hacking invoice
10;multi-state enable;Gorgeous violet Iowa;Producer Home Loan Account;USB portal Investment Account
