id;customer_id;beneficiary_id;from_currency;to_currency;transaction_amount;transaction_currency
1;bifurcated digital;94849;bandwidth synthesize;Taka;87617;hard drive
2;Avon Planner eco-centric;8516;Unbranded Rubber Chair copy;networks Sports Fresh;48627;IB 1080p
3;South Carolina;67347;Handmade Business-focused;redundant;90064;Hong Kong Dollar
4;systems coherent;12805;payment Practical Cotton Gloves;Awesome Cotton Chair;91401;iterate
5;Identity Unbranded Principal;29846;Cordoba Oro Tasty;Land;91029;haptic SMS
6;Persevering Steel process improvement;34674;black;generating structure;89612;Investment Account
7;matrix EXE teal;46354;driver;Oregon model Ireland;54590;Avon Pants
8;Handcrafted Accounts;32254;Svalbard & Jan Mayen Islands COM hacking;user-centric Bedfordshire;14022;AGP
9;tan;40969;Beauty Clothing payment;transmit;86176;Fantastic Fresh Towels
10;Steel Usability;85348;Strategist wireless SCSI;program;7276;quantifying
