id;amount;currency;v_at
1;Research;input Avon Dynamic;Investment Account International Implemented
2;Frozen;Uzbekistan Sum;Pants metrics
3;Investment Account Unbranded Steel;Infrastructure Fantastic Cotton Soap;port Dynamic deposit
4;PNG;pink Cape Verde Escudo;virtual
5;Research;Practical primary;XSS Soft
6;Fantastic Wooden Shirt synergistic;Identity web-readiness online;Burundi Franc
7;Beauty B2C Corporate;Response ADP orange;Liaison
8;deposit;Associate Steel Parkway;Planner adapter Consultant
9;Grocery;Buckinghamshire Tonga;Applications leverage
10;payment;Agent Garden;invoice Strategist Cotton
