id;finger_print;finger_index
1;feed;Applications deposit transmitting
2;blue Investor Checking Account;Credit Card Account platforms New Hampshire
3;Home Loan Account Operative Home;open-source Manager empower
4;Bedfordshire utilize;New York SCSI Arkansas
5;Mall Lakes Granite;initiatives Director
6;Fish;Zimbabwe Dollar Rustic Zimbabwe Dollar
7;fault-tolerant scalable;Cross-group
8;transmitting;Parkways Glen
9;fault-tolerant Grocery;models functionalities
10;Plaza installation info-mediaries;Lead Andorra
