id;level;status
1;Rustic;B2C
2;Shoes;Canadian Dollar Radial Investor
3;invoice Developer;Bond Markets Units European Composite Unit (EURCO) Wooden Antigua and Barbuda
4;virtual Steel Polarised;Som Money Market Account
5;morph Industrial Advanced;Configurable Shoes solid state
6;open-source RSS architect;Graphical User Interface 24 hour cross-platform
7;Cambridgeshire Investment Account;plug-and-play
8;Ergonomic Personal Loan Account;override
9;1080p;schemas
10;intermediate Toys;attitude-oriented transmitting Rubber
