id;payout_currency;payment_mode;purpose_of_transfer;pay_out_country_code;payment_details
1;Cambridgeshire;Fantastic frame extranet;Architect Andorra;Berkshire;Money Market Account
2;Jewelery;help-desk Agent Facilitator;content Borders;Bedfordshire;solid state
3;visualize;Fall Fresh;EXE functionalities;product hack Corporate;Granite Wooden transition
4;Checking Account Computers Spurs;Antigua and Barbuda;Wooden Utah;Investment Account UIC-Franc Stream;Refined Plastic Shirt maximize Colorado
5;orchid heuristic;silver bandwidth Configurable;transition;wireless;JBOD
6;copy primary grow;copying bypassing;Sri Lanka needs-based;Latvia strategize;withdrawal
7;Corners invoice backing up;utilisation;Monitored Home Loan Account;back-end;Nakfa Realigned
8;invoice Analyst New York;Granite;Locks reboot;online Pakistan;Facilitator Fantastic Concrete Sausages
9;Credit Card Account incentivize;Generic Rubber Gloves;Incredible Plastic Towels;ADP clicks-and-mortar Consultant;Turnpike expedite
10;array;Principal Games;Devolved methodologies Practical Wooden Computer;contextually-based;Marshall Islands haptic Auto Loan Account
