id;narative_line_1;narative_line_2;narative_line_3;narative_line_4;client_ref_number
1;1080p invoice B2C;Dynamic Beauty Customer;lime;Mouse analyzing withdrawal;Home
2;1080p monitor;turquoise Wooden;Infrastructure Credit Card Account olive;Hong Kong Dollar SMS generate;Global redundant JSON
3;Clothing Intelligent Plastic Table Awesome Steel Sausages;revolutionize;invoice bypassing RAM;Tasty Granite Pizza Gorgeous utilisation;compressing radical
4;Berkshire deposit granular;Ergonomic Kids Tanzanian Shilling;Unbranded;Licensed Wooden Pants Cambridgeshire;open-source disintermediate
5;communities Persevering Borders;Administrator Gorgeous calculate;Missouri Movies Myanmar;Ghana;Direct XML silver
6;Baby Avon;PNG;Central Program;Towels Cambridgeshire Security;Networked encryption
7;Brand supply-chains e-services;reboot;calculate JSON;Plaza Associate RSS;Money Market Account Ouguiya
8;magenta;lavender;Personal Loan Account;parallelism North Carolina digital;digital Soft
9;overriding silver;Cambridgeshire e-markets District;Unbranded Frozen Table Valleys ability;bifurcated;teal
10;Toys success Pants;GB Mayotte;Credit Card Account;hierarchy program Specialist;program Car secondary
